A1	A2	A3	A4	A5	A6	L1	L2	L3	L4	L5	L6
DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	NUMERIC	NUMERIC	NUMERIC	NUMERIC	NUMERIC	NUMERIC

-0.3889	-0.48724	-0.21089	-0.272329268	0.261525	-0.698295	3	6	5	4	2	1
-0.392302	-0.48724	-0.21089	-0.272329268	0.261525	-0.378064	4	6	5	3	2	1
-0.399427	-0.48724	-0.21089	-0.272329268	0.261525	-1.018527	3	6	5	4	2	1
-0.394016	-0.48724	-0.21089	-0.272329268	0.261525	-0.366678	2	6	5	4	3	1
-0.41282	-0.48724	0.115624	-0.272329268	0.157968	0.438881	3	4	6	5	1	2
-0.414839	-0.48724	0.115624	-0.272329268	0.157968	-0.234316	3	4	6	5	1	2
-0.413038	-0.48724	0.115624	-0.272329268	0.157968	0.983986	2	4	6	5	1	3
-0.407361	-0.48724	0.115624	-0.272329268	0.157968	0.724955	2	4	6	5	1	3
-0.41459	-0.48724	0.115624	-0.272329268	0.157968	-0.362408	3	4	6	5	1	2
